title;country
FacultyThe University of Sydney;AUSTRALIA - New South Wales
TThe University of Tampa;UNITED STATES - FL
John H.University of Technology, Sydney;AUSTRALIA - New South Wales
UTUniversity of Tennessee at Chattanooga;UNITED STATES - TN
University of Tennessee at Knoxville;UNITED STATES - TN
HaslamUniversity of Tennessee at Martin;UNITED STATES - TN
The University of Texas at Arlington;UNITED STATES - TX
The University of Texas at Austin;UNITED STATES - TX
RedThe University of Texas at Brownsville;UNITED STATES - TX
The University of Texas at Dallas;UNITED STATES - TX
NaveenThe University of Texas at El Paso;UNITED STATES - TX
The University of Texas at San Antonio;UNITED STATES - TX
The University of Texas at Tyler;UNITED STATES - TX
The University of Texas of the Permian Basin;UNITED STATES - TX
The University of Texas-Pan American;UNITED STATES - TX
University of the Pacific;UNITED STATES - CA
EberhardtUniversity of Toledo;UNITED STATES - OH
University of Toronto;CANADA - ON
Joseph L.The University of Tulsa;UNITED STATES - OK
CollinUniversity of Utah;UNITED STATES - UT
DavidUniversity of Vermont;UNITED STATES - VT
University of Victoria;CANADA - BC
Peter B.University of Virginia-Darden;UNITED STATES - VA
DardenUniversity of Virginia-McIntire;UNITED STATES - VA
McIntirThe University of Waikato;NEW ZEALAND
WaikatUniversity of Washington Bothell;UNITED STATES - WA
University of Washington Tacoma;UNITED STATES - WA
MilgardUniversity of Washington;UNITED STATES - WA
Michael G.University of West Florida;UNITED STATES - FL
University of West Georgia;UNITED STATES - GA
RichardUniversity of Western Australia;AUSTRALIA - Western Australia
UWAUniversity of Wisconsin Oshkosh;UNITED STATES - WI
University of Wisconsin-Eau Claire;UNITED STATES - WI
University of Wisconsin-La Crosse;UNITED STATES - WI
University of Wisconsin-Madison;UNITED STATES - WI
WisconsinUniversity of Wisconsin-Milwaukee;UNITED STATES - WI
Sheldon B.University of Wisconsin-Parkside;UNITED STATES - WI
University of Wisconsin-River Falls;UNITED STATES - WI
University of Wisconsin-Whitewater;UNITED STATES - WI
University of Wyoming;UNITED STATES - WY
University of Zürich;SWITZERLAND
Faculty of Economics,UNSW Australia;AUSTRALIA - New South Wales
UNSWU.S. Air Force Academy;UNITED STATES - COU.S. Coast Guard Academy;UNITED STATES - CTUtah State University;UNITED STATES - UT
Jon M.Utah Valley University;UNITED STATES - UT
WoodburyValdosta State University;UNITED STATES - GA
Harley Langdale, Jr.Valparaiso University;UNITED STATES - IN
Vanderbilt University;UNITED STATES - TN
OwenVictoria University of Wellington;NEW ZEALAND
VictoriaVillanova University;UNITED STATES - PA
VillanovaVirginia Commonwealth University;UNITED STATES - VA
Virginia Military Institute;UNITED STATES - VAVirginia Polytechnic Institute and State University;UNITED STATES - VA
PamplinVirginia State University;UNITED STATES - VA
Reginald F.Vlerick Business School;BELGIUMWake Forest University;UNITED STATES - NC
Warwick Business School;UNITED KINGDOM - EnglandWashburn University;UNITED STATES - KS
WashburnWashington and Lee University;UNITED STATES - VA
Williams School of Commerce, Economics,Washington State University;UNITED STATES - WA
CarsonWashington University in St. Louis;UNITED STATES - MO
OlinWayne State University;UNITED STATES - MI
Weber State University;UNITED STATES - UTWest Chester University;UNITED STATES - PA
West Texas A & M University;UNITED STATES - TX
West Virginia University;UNITED STATES - WV
Western Carolina University;UNITED STATES - NC
Western Illinois University;UNITED STATES - IL
Western Kentucky University;UNITED STATES - KY
GordonWestern Michigan University;UNITED STATES - MI
HawortWestern New England University;UNITED STATES - MA
Western Washington University;UNITED STATES - WA
Westfälische Wilhelms-Universität Münster;GERMANY
WHU-Otto Beisheim School of Management;GERMANYWichita State University;UNITED STATES - KS
W.Widener University;UNITED STATES - PA
Wilfrid Laurier University;CANADA - ON
Willamette University;UNITED STATES - OR
AtkinsonWilliam Paterson University;UNITED STATES - NJ
CotsakWinona State University;UNITED STATES - MN
Winston-Salem State University;UNITED STATES - NC
Winthrop University;UNITED STATES - SC
Woodbury University;UNITED STATES - CA
Worcester Polytechnic Institute;UNITED STATES - MA
Wright State University;UNITED STATES - OH
RajXavier University;UNITED STATES - OH
WilliamXi'an Jiaotong University;CHINA - Shaanxi
Yale University;UNITED STATES - CT
Yeshiva University;UNITED STATES - NY
SyYonsei University;SOUTH KOREA
Youngstown State University;UNITED STATES - OH
The Warren P. Williamson, Jr.Yuan Ze University;CHINESE TAIPEI
Zagreb School of Economics and Management;CROATIA
Zayed University;UNITED ARAB EMIRATES
